driver,mode,payload_bytes,warps,threads,status,returncode,iterations,failures,pending,phase,arrived,register_cycles,event_cycles,release_cycles,barrier_overhead_cycles,register_cycles_per_iter,event_cycles_per_iter,release_cycles_per_iter,barrier_overhead_per_iter,overhead_ratio,overhead_release_ratio,wait_iters,wait_iters_per_iter,checksum,instrs,cycles,ipc,configs,command,output_tail
simx,hard_barrier,1024,4,4,PASS,0,4,0,0,4,16,555,7632,8384,752,138.750,1908.000,2096.000,188.000,0.098532,0.089695,0,0.000,512,3874,14104,0.275,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b1024 -i4 -mhard,"threads: 4\nwarps: 4\nmode: hard_barrier\npayload bytes: 1024\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=3874, cycles=14104, IPC=0.275\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=7632 release_cycles=8384 wait_iters=0 checksum=512\nSMEM_BARRIER_RESULT mode=hard_barrier payload_bytes=1024 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=7632 release_cycles=8384 wait_iters=0 checksum=512\nPASSED!"
simx,soft_smem_atomic,1024,4,4,PASS,0,4,0,0,4,16,638,7686,9786,2100,159.500,1921.500,2446.500,525.000,0.273224,0.214592,0,0.000,512,4460,15093,0.296,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b1024 -i4 -msoft,"threads: 4\nwarps: 4\nmode: soft_smem_atomic\npayload bytes: 1024\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=4460, cycles=15093, IPC=0.296\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=7686 release_cycles=9786 wait_iters=0 checksum=512\nSMEM_BARRIER_RESULT mode=soft_smem_atomic payload_bytes=1024 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=7686 release_cycles=9786 wait_iters=0 checksum=512\nPASSED!"
simx,hard_barrier,2048,4,4,PASS,0,4,0,0,4,16,555,14400,15152,752,138.750,3600.000,3788.000,188.000,0.052222,0.049630,0,0.000,1024,6946,20872,0.333,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b2048 -i4 -mhard,"threads: 4\nwarps: 4\nmode: hard_barrier\npayload bytes: 2048\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=6946, cycles=20872, IPC=0.333\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=14400 release_cycles=15152 wait_iters=0 checksum=1024\nSMEM_BARRIER_RESULT mode=hard_barrier payload_bytes=2048 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=14400 release_cycles=15152 wait_iters=0 checksum=1024\nPASSED!"
simx,soft_smem_atomic,2048,4,4,PASS,0,4,0,0,4,16,638,14414,16514,2100,159.500,3603.500,4128.500,525.000,0.145692,0.127165,0,0.000,1024,7532,21821,0.345,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b2048 -i4 -msoft,"threads: 4\nwarps: 4\nmode: soft_smem_atomic\npayload bytes: 2048\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=7532, cycles=21821, IPC=0.345\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=14414 release_cycles=16514 wait_iters=0 checksum=1024\nSMEM_BARRIER_RESULT mode=soft_smem_atomic payload_bytes=2048 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=14414 release_cycles=16514 wait_iters=0 checksum=1024\nPASSED!"
simx,hard_barrier,4096,4,4,PASS,0,4,0,0,4,16,555,27936,28688,752,138.750,6984.000,7172.000,188.000,0.026919,0.026213,0,0.000,2048,13090,34408,0.380,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b4096 -i4 -mhard,"threads: 4\nwarps: 4\nmode: hard_barrier\npayload bytes: 4096\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=13090, cycles=34408, IPC=0.380\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=27936 release_cycles=28688 wait_iters=0 checksum=2048\nSMEM_BARRIER_RESULT mode=hard_barrier payload_bytes=4096 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=27936 release_cycles=28688 wait_iters=0 checksum=2048\nPASSED!"
simx,soft_smem_atomic,4096,4,4,PASS,0,4,0,0,4,16,638,27870,29970,2100,159.500,6967.500,7492.500,525.000,0.075350,0.070070,0,0.000,2048,13676,35277,0.388,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b4096 -i4 -msoft,"threads: 4\nwarps: 4\nmode: soft_smem_atomic\npayload bytes: 4096\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=13676, cycles=35277, IPC=0.388\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=27870 release_cycles=29970 wait_iters=0 checksum=2048\nSMEM_BARRIER_RESULT mode=soft_smem_atomic payload_bytes=4096 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=27870 release_cycles=29970 wait_iters=0 checksum=2048\nPASSED!"
simx,hard_barrier,8192,4,4,PASS,0,4,0,0,4,16,555,55008,55760,752,138.750,13752.000,13940.000,188.000,0.013671,0.013486,0,0.000,258048,25378,61480,0.413,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b8192 -i4 -mhard,"threads: 4\nwarps: 4\nmode: hard_barrier\npayload bytes: 8192\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=25378, cycles=61480, IPC=0.413\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=55008 release_cycles=55760 wait_iters=0 checksum=258048\nSMEM_BARRIER_RESULT mode=hard_barrier payload_bytes=8192 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=55008 release_cycles=55760 wait_iters=0 checksum=258048\nPASSED!"
simx,soft_smem_atomic,8192,4,4,PASS,0,4,0,0,4,16,638,54782,56882,2100,159.500,13695.500,14220.500,525.000,0.038334,0.036919,0,0.000,258048,25964,62189,0.418,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b8192 -i4 -msoft,"threads: 4\nwarps: 4\nmode: soft_smem_atomic\npayload bytes: 8192\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=25964, cycles=62189, IPC=0.418\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=54782 release_cycles=56882 wait_iters=0 checksum=258048\nSMEM_BARRIER_RESULT mode=soft_smem_atomic payload_bytes=8192 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=54782 release_cycles=56882 wait_iters=0 checksum=258048\nPASSED!"
simx,hard_barrier,16384,4,4,PASS,0,4,0,0,4,16,555,109152,109904,752,138.750,27288.000,27476.000,188.000,0.006889,0.006842,0,0.000,253952,49954,115624,0.432,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b16384 -i4 -mhard,"threads: 4\nwarps: 4\nmode: hard_barrier\npayload bytes: 16384\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=49954, cycles=115624, IPC=0.432\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=109152 release_cycles=109904 wait_iters=0 checksum=253952\nSMEM_BARRIER_RESULT mode=hard_barrier payload_bytes=16384 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=109152 release_cycles=109904 wait_iters=0 checksum=253952\nPASSED!"
simx,soft_smem_atomic,16384,4,4,PASS,0,4,0,0,4,16,638,108606,110706,2100,159.500,27151.500,27676.500,525.000,0.019336,0.018969,0,0.000,253952,50540,116013,0.436,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b16384 -i4 -msoft,"threads: 4\nwarps: 4\nmode: soft_smem_atomic\npayload bytes: 16384\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=50540, cycles=116013, IPC=0.436\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=108606 release_cycles=110706 wait_iters=0 checksum=253952\nSMEM_BARRIER_RESULT mode=soft_smem_atomic payload_bytes=16384 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=108606 release_cycles=110706 wait_iters=0 checksum=253952\nPASSED!"
simx,hard_barrier,32768,4,4,PASS,0,4,0,0,4,16,555,217440,218192,752,138.750,54360.000,54548.000,188.000,0.003458,0.003447,0,0.000,229376,99106,223912,0.443,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b32768 -i4 -mhard,"threads: 4\nwarps: 4\nmode: hard_barrier\npayload bytes: 32768\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=99106, cycles=223912, IPC=0.443\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=217440 release_cycles=218192 wait_iters=0 checksum=229376\nSMEM_BARRIER_RESULT mode=hard_barrier payload_bytes=32768 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=555 event_cycles=217440 release_cycles=218192 wait_iters=0 checksum=229376\nPASSED!"
simx,soft_smem_atomic,32768,4,4,PASS,0,4,0,0,4,16,638,216254,218354,2100,159.500,54063.500,54588.500,525.000,0.009711,0.009617,0,0.000,229376,99692,223661,0.446,-DVX_CFG_EXT_A_ENABLE -DVX_CFG_EXT_DXA_ENABLE -DVX_CFG_LMEM_LOG_SIZE=18,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=4 --threads=4 --l2cache --perf=16 --app=smem_atomic_barrier --args=-b32768 -i4 -msoft,"threads: 4\nwarps: 4\nmode: soft_smem_atomic\npayload bytes: 32768\niterations: 4\nPERF: core0: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: dxa: transfers=0, gmem_reads=0, gmem_dedup=0 (rate=0%), lmem_writes=0, avg_gmem_lat=0.0\nPERF: instrs=99692, cycles=223661, IPC=0.446\nresult: failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=216254 release_cycles=218354 wait_iters=0 checksum=229376\nSMEM_BARRIER_RESULT mode=soft_smem_atomic payload_bytes=32768 iterations=4 failures=0 pending=0 phase=4 arrived=16 register_cycles=638 event_cycles=216254 release_cycles=218354 wait_iters=0 checksum=229376\nPASSED!"
